VertexFrom VertexTo TimeStart TimeStop
VehicleFlowWestToEast43 VehicleFlowEastToWest_010 2 2
VehicleFlowWestToEast42 VehicleFlowNorthToWest8 2 2
VehicleFlowWestToEast42 VehicleFlowWestToEast41 2 2
VehicleFlowWestToEast42 VehicleFlowWestToEast43 2 2
VehicleFlowWestToEast42 VehicleFlowWestToNorth14 2 2
VehicleFlowWestToEast42 VehicleFlowWestToSouth5 2 2
VehicleFlowWestToEast45 VehicleFlowEastToWest9 2 2
VehicleFlowWestToEast45 VehicleFlowNorthToWest7 2 2
VehicleFlowWestToEast45 VehicleFlowNorthToWest6 2 2
VehicleFlowWestToEast45 VehicleFlowWestToEast44 2 2
VehicleFlowWestToEast45 VehicleFlowSouthToWest8 2 2
VehicleFlowWestToEast45 VehicleFlowSouthToWest7 2 2
VehicleFlowWestToEast45 VehicleFlowEastToWest_18 2 2
VehicleFlowWestToEast45 VehicleFlowEastToWest_17 2 2
VehicleFlowWestToEast44 VehicleFlowEastToWest9 2 2
VehicleFlowWestToEast44 VehicleFlowWestToEast43 2 2
VehicleFlowWestToEast44 VehicleFlowWestToEast45 2 2
VehicleFlowWestToEast44 VehicleFlowSouthToWest9 2 2
VehicleFlowWestToEast44 VehicleFlowSouthToWest8 2 2
VehicleFlowWestToEast44 VehicleFlowSouthToWest7 2 2
VehicleFlowWestToEast44 VehicleFlowEastToWest_18 2 2
VehicleFlowWestToEast44 VehicleFlowEastToWest_17 2 2
VehicleFlowWestToEast44 VehicleFlowSouthToWest10 2 2
VehicleFlowWestToEast44 VehicleFlowEastToWest_010 2 2
VehicleFlowWestToEast_033 VehicleFlowNorthToWest9 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_032 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToNorth9 2 2
VehicleFlowWestToEast_033 VehicleFlowNorthToEast5 2 2
VehicleFlowWestToEast_033 VehicleFlowNorthToEast4 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast34 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast35 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast36 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast37 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast30 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast31 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast32 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast33 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast27 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast26 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast25 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast24 2 2
VehicleFlowWestToEast_033 VehicleFlowNorthToWest10 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast29 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast28 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToNorth11 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_028 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToNorth12 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_029 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToNorth10 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_034 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_031 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_030 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToSouth4 2 2
VehicleFlowWestToEast_033 VehicleFlowEastToWest10 2 2
VehicleFlowWestToEast_033 VehicleFlowNorthToSouth6 2 2
VehicleFlowWestToEast_033 VehicleFlowNorthToSouth5 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_027 2 2
VehicleFlowWestToEast_033 VehicleFlowWestToEast_024 2 2
VehicleFlowWestToEast_033 VehicleFlowEastToWest_011 2 2
VehicleFlowWestToEast_032 VehicleFlowNorthToWest9 2 2
VehicleFlowWestToEast_032 VehicleFlowWestToEast_033 2 2
